id,rmsse,model,cutoff,segment
ELECTRONICS_1_CABLE_KA_1_validation,1.19217649673722,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_KA_2_validation,0.9125795321501167,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_KA_3_validation,0.8822358128624257,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_MH_1_validation,1.814253795797925,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_MH_2_validation,1.7416344627144373,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_MH_3_validation,0.8386258447211259,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_MH_4_validation,0.8077542095426513,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_TN_1_validation,1.10426391271622,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_TN_2_validation,0.6891596605546854,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CABLE_TN_3_validation,0.8565494110535729,seasonal_naive,1612,low_volume_intermittent
ELECTRONICS_1_CHARGER_KA_1_validation,0.6673443529077768,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_KA_2_validation,0.6909690947494358,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_KA_3_validation,1.1806415924489069,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_MH_1_validation,1.0109189238385055,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_MH_2_validation,0.5303604272645303,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_MH_3_validation,0.636232945909039,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_MH_4_validation,1.1240255188724317,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_TN_1_validation,0.3416114677668205,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_TN_2_validation,0.4425894171412838,seasonal_naive,1612,regular
ELECTRONICS_1_CHARGER_TN_3_validation,1.135342531574795,seasonal_naive,1612,regular
GROCERY_3_ATTA_KA_1_validation,1.0009617925800438,seasonal_naive,1612,regular
GROCERY_3_ATTA_KA_2_validation,1.4312544778794312,seasonal_naive,1612,regular
GROCERY_3_ATTA_KA_3_validation,1.20271471838317,seasonal_naive,1612,regular
GROCERY_3_ATTA_MH_1_validation,0.7753684101245713,seasonal_naive,1612,regular
GROCERY_3_ATTA_MH_2_validation,1.2777749925304376,seasonal_naive,1612,regular
GROCERY_3_ATTA_MH_3_validation,0.8222378164290998,seasonal_naive,1612,regular
GROCERY_3_ATTA_MH_4_validation,1.5210789483152536,seasonal_naive,1612,regular
GROCERY_3_ATTA_TN_1_validation,1.4779335996547123,seasonal_naive,1612,regular
GROCERY_3_ATTA_TN_2_validation,0.8241962852190525,seasonal_naive,1612,regular
GROCERY_3_ATTA_TN_3_validation,1.4480320387555212,seasonal_naive,1612,regular
GROCERY_3_PICKLE_KA_1_validation,0.4903605850466008,seasonal_naive,1612,low_volume_intermittent
GROCERY_3_PICKLE_KA_2_validation,0.6461109047695436,seasonal_naive,1612,regular
GROCERY_3_PICKLE_KA_3_validation,0.4469352274756773,seasonal_naive,1612,regular
GROCERY_3_PICKLE_MH_1_validation,0.6406476013674097,seasonal_naive,1612,regular
GROCERY_3_PICKLE_MH_2_validation,1.1543056041025497,seasonal_naive,1612,low_volume_intermittent
GROCERY_3_PICKLE_MH_3_validation,0.5311690459583593,seasonal_naive,1612,regular
GROCERY_3_PICKLE_MH_4_validation,0.8157883400816898,seasonal_naive,1612,regular
GROCERY_3_PICKLE_TN_1_validation,0.6650338201620797,seasonal_naive,1612,regular
